OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
2360,ALBERTA,AB,31,2020/06/21 12:00:00+00,7704,7018,22,152,0,389405,8330,534,9,33,-6,7,1,,
2375,ALBERTA,AB,32,2020/06/22 12:00:00+00,7736,7041,23,153,1,396300,6895,542,8,32,-1,6,-1,,
2390,ALBERTA,AB,45,2020/06/23 12:00:00+00,7781,7096,55,153,0,402837,6537,532,-10,37,5,6,0,,
2405,ALBERTA,AB,44,2020/06/24 12:00:00+00,7825,7134,38,153,0,409352,6515,538,6,36,-1,7,1,,
2420,ALBERTA,AB,26,2020/06/25 12:00:00+00,7851,7191,57,154,1,415716,6364,506,-32,38,2,8,1,,
2435,ALBERTA,AB,37,2020/06/26 12:00:00+00,7888,7225,34,154,0,422351,6635,509,3,37,-1,8,0,,
2450,ALBERTA,AB,69,2020/06/27 12:00:00+00,7957,7283,58,154,0,428743,6392,520,11,42,5,8,0,,
2465,ALBERTA,AB,39,2020/06/28 12:00:00+00,7996,7322,39,154,0,435254,6511,520,0,43,1,8,0,,
2480,ALBERTA,AB,71,2020/06/29 12:00:00+00,8067,7354,32,154,0,442253,6999,559,39,41,-2,9,1,,
2495,ALBERTA,AB,41,2020/06/30 12:00:00+00,8108,7407,53,154,0,449451,7198,547,-12,41,0,9,0,,
2510,ALBERTA,AB,0,2020/07/01 12:00:00+00,8108,7407,0,154,0,449451,0,547,0,41,0,9,0,,
2525,ALBERTA,AB,94,2020/07/02 12:00:00+00,8202,7505,98,155,1,464070,14619,542,-5,44,3,8,-1,,
2555,ALBERTA,AB,57,2020/07/03 12:00:00+00,8259,7532,27,155,0,470809,6739,572,30,42,-2,9,1,,
2570,ALBERTA,AB,0,2020/07/04 12:00:00+00,8259,7532,0,155,0,470809,0,572,0,42,0,9,0,,
2615,ALBERTA,AB,0,2020/07/05 12:00:00+00,8259,7532,0,155,0,470809,0,572,0,42,0,9,0,,
2630,ALBERTA,AB,130,2020/07/06 12:00:00+00,8389,7627,95,155,0,487915,17106,607,35,57,15,6,-3,,
2645,ALBERTA,AB,47,2020/07/07 12:00:00+00,8436,7659,32,157,2,493935,6020,620,13,54,-3,6,0,,
2660,ALBERTA,AB,46,2020/07/08 12:00:00+00,8482,7716,57,158,1,500203,6268,608,-12,55,1,7,1,,
2675,ALBERTA,AB,37,2020/07/09 12:00:00+00,8519,7774,58,161,3,507169,6966,584,-24,46,-9,7,0,,
2690,ALBERTA,AB,77,2020/07/10 12:00:00+00,8596,7844,70,160,-1,514970,7801,592,8,50,4,9,2,,
2705,ALBERTA,AB,0,2020/07/11 12:00:00+00,8596,7844,0,160,0,514970,0,592,0,50,0,9,0,,
2720,ALBERTA,AB,0,2020/07/12 12:00:00+00,8596,7844,0,160,0,514970,0,592,0,50,0,9,0,,
2735,ALBERTA,AB,230,2020/07/13 12:00:00+00,8826,7989,145,161,1,540102,25132,676,84,45,-5,10,1,,
2750,ALBERTA,AB,86,2020/07/14 12:00:00+00,8912,8048,59,163,2,545902,5800,701,25,55,10,13,3,,
2765,ALBERTA,AB,82,2020/07/15 12:00:00+00,8994,8127,79,163,0,552276,6374,704,3,64,9,7,-6,,
2780,ALBERTA,AB,120,2020/07/16 12:00:00+00,9114,8142,15,165,2,560493,8217,807,103,69,5,8,1,,
2795,ALBERTA,AB,105,2020/07/17 12:00:00+00,9219,8193,51,167,2,566972,6479,859,52,68,-1,13,5,,
2810,ALBERTA,AB,0,2020/07/18 12:00:00+00,9219,8193,0,167,0,566972,0,859,0,68,0,13,0,,
2825,ALBERTA,AB,0,2020/07/19 12:00:00+00,9219,8193,0,167,0,566972,0,859,0,68,0,13,0,,
2840,ALBERTA,AB,368,2020/07/20 12:00:00+00,9587,8308,115,170,3,590502,23530,1109,250,86,18,17,4,,
2855,ALBERTA,AB,141,2020/07/21 12:00:00+00,9728,8363,55,172,2,598317,7815,1193,84,93,7,16,-1,,
2870,ALBERTA,AB,133,2020/07/22 12:00:00+00,9861,8436,73,174,2,606465,8148,1251,58,102,9,18,2,,
2885,ALBERTA,AB,114,2020/07/23 12:00:00+00,9975,8506,70,176,2,614692,8227,1293,42,106,4,21,3,,
2900,ALBERTA,AB,111,2020/07/24 12:00:00+00,10086,8567,61,181,5,623445,8753,1338,45,83,-23,18,-3,,
2915,ALBERTA,AB,0,2020/07/25 12:00:00+00,10086,8567,0,181,0,623445,0,1338,0,83,0,18,0,,
2930,ALBERTA,AB,0,2020/07/26 12:00:00+00,10086,8567,0,181,0,623445,0,1338,0,83,0,18,0,,
2945,ALBERTA,AB,304,2020/07/27 12:00:00+00,10390,8774,207,186,5,651335,27890,1430,92,88,5,17,-1,,
2960,ALBERTA,AB,80,2020/07/28 12:00:00+00,10470,8886,112,186,0,659242,7907,1398,-32,88,0,16,-1,,
2990,ALBERTA,AB,133,2020/07/29 12:00:00+00,10603,8983,97,190,4,668226,8984,1430,32,87,-1,17,1,,
3005,ALBERTA,AB,113,2020/07/30 12:00:00+00,10716,9113,130,195,5,676913,8687,1408,-22,91,4,18,1,,
3020,ALBERTA,AB,127,2020/07/31 12:00:00+00,10843,9261,148,196,1,685297,8384,1386,-22,86,-5,17,-1,,
3035,ALBERTA,AB,0,2020/08/01 12:00:00+00,10843,9261,0,196,0,685297,0,1386,0,86,0,17,0,,
3050,ALBERTA,AB,0,2020/08/02 12:00:00+00,10843,9261,0,196,0,685297,0,1386,0,86,0,17,0,,
3065,ALBERTA,AB,0,2020/08/03 12:00:00+00,10843,9261,0,196,0,685297,0,1386,0,86,0,17,0,,
3080,ALBERTA,AB,303,2020/08/04 12:00:00+00,11146,9754,493,201,5,720131,34834,1191,-195,85,-1,23,6,,
3095,ALBERTA,AB,94,2020/08/05 12:00:00+00,11240,9891,137,203,2,727335,7204,1146,-45,75,-10,20,-3,,
3110,ALBERTA,AB,56,2020/08/06 12:00:00+00,11296,9984,93,205,2,735322,7987,1107,-39,76,1,19,-1,,
3125,ALBERTA,AB,134,2020/08/07 12:00:00+00,11430,10097,113,208,3,743885,8563,1125,18,68,-8,18,-1,,
3140,ALBERTA,AB,0,2020/08/08 12:00:00+00,11430,10097,0,208,0,743885,0,1125,0,68,0,18,0,,
3170,ALBERTA,AB,0,2020/08/09 12:00:00+00,11430,10097,0,208,0,743885,0,1125,0,68,0,18,0,,
3185,ALBERTA,AB,257,2020/08/10 12:00:00+00,11687,10384,287,213,5,770266,26381,1090,-35,66,-2,14,-4,,
3200,ALBERTA,AB,85,2020/08/11 12:00:00+00,11772,10552,168,216,3,777325,7059,1004,-86,62,-4,14,0,,
3215,ALBERTA,AB,121,2020/08/12 12:00:00+00,11893,10632,80,217,1,785361,8036,1044,40,50,-12,13,-1,,
3230,ALBERTA,AB,76,2020/08/13 12:00:00+00,11969,10713,81,220,3,793114,7753,1036,-8,50,0,12,-1,,
3245,ALBERTA,AB,84,2020/08/14 12:00:00+00,12053,10796,83,221,1,801360,8246,1036,0,48,-2,13,1,,
3260,ALBERTA,AB,0,2020/08/15 12:00:00+00,12053,10796,0,221,0,801360,0,1036,0,48,0,13,0,,
3275,ALBERTA,AB,0,2020/08/16 12:00:00+00,12053,10796,0,221,0,801360,0,1036,0,48,0,13,0,,
3290,ALBERTA,AB,359,2020/08/17 12:00:00+00,12412,11056,260,224,3,829622,28262,1132,96,45,-3,10,-3,,
3305,ALBERTA,AB,7,2020/08/18 12:00:00+00,12419,11159,3,225,1,829622,0,1169,37,48,3,11,1,,
3320,ALBERTA,AB,82,2020/08/19 12:00:00+00,12501,11167,142,227,2,846681,17059,1107,-62,48,0,12,1,,
3335,ALBERTA,AB,103,2020/08/20 12:00:00+00,12604,11292,125,228,1,855968,9287,1084,-23,43,-5,12,0,,
3350,ALBERTA,AB,144,2020/08/21 12:00:00+00,12748,11374,82,230,2,862908,6940,1144,60,43,0,9,-3,,
3365,ALBERTA,AB,0,2020/08/22 12:00:00+00,12748,11374,0,230,0,862908,0,1144,0,43,0,9,0,,
3380,ALBERTA,AB,0,2020/08/23 12:00:00+00,12748,11374,0,230,0,862908,0,1144,0,43,0,9,0,,
3395,ALBERTA,AB,258,2020/08/24 12:00:00+00,13006,11600,226,234,4,894611,31703,1172,28,45,2,9,0,,
3410,ALBERTA,AB,2,2020/08/25 12:00:00+00,13008,11714,114,235,1,903052,8441,1059,-113,46,1,7,-2,,
3425,ALBERTA,AB,202,2020/08/26 12:00:00+00,13210,11799,85,235,0,912302,9250,1176,117,48,2,7,0,,
3440,ALBERTA,AB,108,2020/08/27 12:00:00+00,13318,11923,124,237,2,922397,10095,1158,-18,49,1,7,0,,
3455,ALBERTA,AB,158,2020/08/28 12:00:00+00,13476,12054,131,237,0,933365,10968,1185,27,44,-5,7,0,,
3470,ALBERTA,AB,0,2020/08/29 12:00:00+00,13476,12054,0,237,0,933365,0,1185,0,44,0,7,0,,
3485,ALBERTA,AB,0,2020/08/30 12:00:00+00,13476,12054,0,237,0,933365,0,1185,0,44,0,7,0,,
3500,ALBERTA,AB,426,2020/08/31 12:00:00+00,13902,12293,239,239,2,967083,33718,1370,185,44,0,8,1,,
3515,ALBERTA,AB,164,2020/09/01 12:00:00+00,14066,12427,134,241,2,976423,9340,1398,28,50,6,10,2,,
3530,ALBERTA,AB,114,2020/09/02 12:00:00+00,14180,12535,108,242,1,984736,8313,1403,5,50,0,9,-1,,
3545,ALBERTA,AB,130,2020/09/03 12:00:00+00,14310,12653,118,242,0,994289,9553,1415,12,46,-4,9,0,,
3560,ALBERTA,AB,164,2020/09/04 12:00:00+00,14474,12799,146,242,0,1005001,10712,1433,18,47,1,9,0,,
3575,ALBERTA,AB,0,2020/09/05 12:00:00+00,14474,12799,0,242,0,1005001,0,1433,0,47,0,9,0,,
3590,ALBERTA,AB,0,2020/09/06 12:00:00+00,14474,12799,0,242,0,1005001,0,1433,0,47,0,9,0,,
3605,ALBERTA,AB,0,2020/09/07 04:00:00+00,14474,12799,0,242,0,1005001,0,1433,0,47,0,9,0,,
3620,ALBERTA,AB,619,2020/09/08 12:00:00+00,15093,13154,355,247,5,1052446,47445,1692,259,45,-2,10,1,,
3635,ALBERTA,AB,98,2020/09/09 12:00:00+00,15191,13358,204,248,1,1062956,10510,1585,-107,45,0,7,-3,,
3650,ALBERTA,AB,113,2020/09/10 12:00:00+00,15304,13557,199,253,5,1072681,9725,1494,-91,43,-2,7,0,,
3665,ALBERTA,AB,111,2020/09/11 12:00:00+00,15415,13718,161,253,0,1084670,11989,1444,-50,41,-2,6,-1,,
3680,ALBERTA,AB,0,2020/09/12 12:00:00+00,15415,13718,0,253,0,1084670,0,1444,0,41,0,6,0,,
3695,ALBERTA,AB,0,2020/09/13 12:00:00+00,15415,13718,0,253,0,1084670,0,1444,0,41,0,6,0,,
3725,ALBERTA,AB,418,2020/09/14 12:00:00+00,15833,14041,323,254,1,1130828,46158,1538,94,37,-4,7,1,,
3740,ALBERTA,AB,124,2020/09/15 12:00:00+00,15957,14212,171,254,0,1143818,12990,1491,-47,39,2,7,0,,
3755,ALBERTA,AB,171,2020/09/16 12:00:00+00,16128,14379,167,254,0,1156369,12551,1495,4,38,-1,6,-1,,
3770,ALBERTA,AB,146,2020/09/17 12:00:00+00,16274,14537,158,254,0,1169378,13009,1483,-12,41,3,8,2,,
3785,ALBERTA,AB,107,2020/09/18 12:00:00+00,16381,14702,165,255,1,1180696,11318,1424,-59,44,3,7,-1,,
3800,ALBERTA,AB,0,2020/09/19 12:00:00+00,16381,14702,0,255,0,1180696,0,1424,0,44,0,7,0,,
3815,ALBERTA,AB,0,2020/09/20 12:00:00+00,16381,14702,0,255,0,1180696,0,1424,0,44,0,7,0,,
3830,ALBERTA,AB,358,2020/09/21 12:00:00+00,16739,15024,322,256,1,1215672,34976,1459,35,51,7,9,2,,
