date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,DailyVaccinated,TotalVaccinated,Quebec Vaccine,Mean Temp
05-03-2021,291175,10455,12.58167974,9.254835612,0.002744382,0.000956938,46.785,78.305,84.965,599,31165,112,268645,7973,189.0037554,1934.020121,17859,418399,46,-10
06-03-2021,291924,10465,12.58424877,9.255791635,0.002569033,0.000956023,48.02,80.82,88.715,601,29810,117,269530,7817,206.543325,1895.128018,13856,432255,51,-8.7
07-03-2021,292631,10472,12.58666771,9.256460308,0.002418935,0.000668673,50.605,91.03,102.175,612,23200,122,270364,7590,202.7205481,2063.48314,6560,438815,39,-7.5
08-03-2021,293210,10481,12.58864435,9.257319373,0.001976646,0.000859066,44.675,81.17,82.58,628,19073,121,271156,7378,181.1723462,1758.439775,16513,455328,30,-8.6
09-03-2021,293860,10493,12.59085874,9.258463647,0.002214388,0.001144274,45.74,86.65,78.22,618,21958,120,271908,7336,207.7241157,1792.983492,17382,472710,22,0
10-03-2021,294652,10503,12.59355028,9.25941621,0.002691536,0.000952562,54.805,92.35,89.49,626,28809,115,272553,7379,189.3048424,1843.379635,17794,490504,25,1.5
11-03-2021,295390,10518,12.5960518,9.260843354,0.002501518,0.001427145,53.46,85.36,90.73,617,27933,111,273430,7290,185.1762883,1606.760557,19975,510479,20,8.1
12-03-2021,296143,10526,12.59859772,9.261603666,0.002545929,0.000760312,56.395,93.815,96.575,601,28566,109,274245,7214,208.0243634,2258.824051,21533,532012,34,0.8
13-03-2021,296918,10535,12.60121129,9.262458326,0.002613561,0.00085466,54.12,89.555,98.075,592,25978,107,275059,7100,175.4136193,2175.081602,16124,548136,46,-4.8
14-03-2021,297592,10540,12.6034787,9.262932822,0.002267414,0.000474496,53.645,93.01,101.37,590,22372,108,275796,7100,193.6645821,1651.666094,16166,564302,38,-6.8
15-03-2021,298186,10550,12.60547273,9.263881139,0.001994032,0.000948317,48.285,85.22,88.41,576,18483,110,276602,6765,210.6958745,2128.342907,16726,581028,100,-11
16-03-2021,298747,10558,12.60735234,9.264639145,0.001879608,0.000758006,44.16,76.97,76.925,581,22398,112,277185,6964,198.9546695,2007.15693,18805,599833,37,-5.1
17-03-2021,299450,10570,12.60970274,9.265775079,0.002350397,0.001135933,51.04,81.44,83.66,563,29655,111,277738,7134,180.1939887,1900.636979,19227,619060,32,0.6
18-03-2021,300152,10576,12.61204429,9.266342562,0.002341554,0.000567483,51.9,83.57,85.335,550,29175,106,278489,7128,174.263428,1811.533201,29603,648663,49,-0.2
19-03-2021,300916,10587,12.61458644,9.267382112,0.002542143,0.00103955,51.235,91.205,89.3,551,279230,106,279230,7153,166.7822329,1859.313998,32824,681487,31,-4.8
20-03-2021,301691,10594,12.61715859,9.268043082,0.002572159,0.00066097,52.965,89.415,91.165,547,28466,100,280030,7022,173.5652456,2036.725604,34094,715581,30,3.4
