date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,ontario,ontario-us,DailyVaccinated,TotalVaccinated,Ontario Vaccine,Mean Temp
07-04-2021,370817,7475,12.82346396,8.919319398,0.008707848,0.002276838,44.55,98.39,95.985,1116,62290,433,324196,20875,577.2204962,13503.52797,84060,2276313,40,11.1
08-04-2021,374112,7494,12.8323105,8.921857979,0.008846538,0.002538581,40.735,85.075,94.675,1116,0,433,324196,20875,563.285066,14052.00883,0,2276313,49,14.6
09-04-2021,378339,7512,12.8435459,8.924257021,0.011235401,0.002399042,42.555,92.19,108.52,796,121450,451,327940,23190,660.6237442,14665.15148,147750,2424063,70,15.6
10-04-2021,382152,7531,12.85357371,8.926783114,0.010027816,0.002526093,37.095,88.105,83.635,796,0,451,327940,23190,554.8234557,16007.49507,0,2424063,100,15.4
11-04-2021,386608,7552,12.86516654,8.929567708,0.011592825,0.002784594,36.405,89.32,86.275,942,82943,494,331600,25487,688.0814471,13582.6175,121577,2545640,87,13.5
12-04-2021,391009,7567,12.87648586,8.931551967,0.011319318,0.001984259,31.515,78.02,65.19,1161,37541,482,333576,26568,685.4112818,15816.24321,76199,2621839,85,9.2
13-04-2021,394679,7582,12.88582806,8.933532296,0.009342199,0.001980329,39.895,91.165,84.875,1397,49889,476,335983,27359,609.0423841,14145.6439,104382,2726221,47,10.2
14-04-2021,398835,7610,12.89630308,8.937218451,0.010475021,0.003686155,41.87,94.41,90.69,1417,60978,496,338559,28059,540.6018293,12498.66011,108563,2834784,43,10.3
15-04-2021,403571,7639,12.90810771,8.941021984,0.011804635,0.003803533,41.51,97.035,95.175,1492,64278,519,341200,29627,573.8957198,14235.98386,105382,2940166,60,6.3
16-04-2021,408383,7664,12.91996074,8.94428932,0.011853027,0.003267336,36.325,90.69,89.045,1524,61439,554,343622,30999,669.2286126,14179.87546,104783,3044949,52,7.4
17-04-2021,412745,7698,12.93058525,8.948715834,0.010624509,0.004426514,38.065,99.15,97.715,1513,56378,605,346239,32817,483.0620116,13160.20902,94794,3139743,45,7.6
18-04-2021,416995,7716,12.94082951,8.951051374,0.010244262,0.00233554,38.625,106.28,89.79,1646,47929,619,348684,34758,456.1741152,13518.29739,74722,3214465,38,9
19-04-2021,421442,7735,12.95143744,8.953510763,0.010607933,0.002459389,31.61,72.51,67.93,1822,42167,626,351257,35840,570.5865119,13393.04911,95692,3310157,46,9.4
20-04-2021,424911,7757,12.95963501,8.95635094,0.008197571,0.002840177,37.73,88.74,85.89,1877,54211,642,354417,36808,628.6275017,12839.2302,112817,3422974,40,2.1
21-04-2021,429123,7789,12.96949887,8.960467761,0.009863856,0.00411682,36.25,92.425,89.675,1932,65559,659,357591,38341,648.0171652,14465.43128,105430,3528404,45,1.1
